,shapley_LGBM_greedy,Greedy Acquisition,Random Sampling
0,21.88745427131653,4.107006311416626,2.365907669067383
0,,,
0,21.818060636520386,4.150480031967163,2.361353635787964
0,,,
0,21.836463689804077,4.152603626251221,2.363847255706787
0,,,
0,21.853666067123413,4.135099411010742,2.3696224689483643
0,,,
0,21.843176126480103,4.178209543228149,2.362410068511963
0,,,
0,21.869410514831543,4.140449285507202,2.356675386428833
0,,,
0,21.90274667739868,4.193281888961792,2.363084554672241
0,,,
0,21.819737195968628,4.13905930519104,2.3476738929748535
0,,,
0,22.00352454185486,4.165303468704224,2.349440574645996
0,,,
0,21.984785318374634,4.152954339981079,2.359393835067749
0,,,
