,MVSA_GPR_greedy,Greedy Acquisition,Random Sampling
0,3113.5400450229645,4.845991611480713,2.4172985553741455
0,,,
0,3096.055550098419,4.886277675628662,2.4079818725585938
0,,,
0,3119.3363909721375,4.754320859909058,2.406987428665161
0,,,
0,3091.5249354839325,4.77254843711853,2.3963334560394287
0,,,
0,3115.1476039886475,4.7320239543914795,2.3997244834899902
0,,,
0,3115.3448712825775,4.722753047943115,2.385237455368042
0,,,
0,3119.421275615692,4.698671102523804,2.3879222869873047
0,,,
0,3098.19558262825,4.721426010131836,2.381340503692627
0,,,
0,3105.8857328891754,4.686888217926025,2.388869285583496
0,,,
0,3107.6200709342957,4.806306838989258,2.392369031906128
0,,,
