,MVSA_GPR_greedy,MVSA_GPR_gpflow_greedy,MVSA_LGBM_greedy,MVSA_SVR_greedy,MVSA_DNN_greedy,Greedy Acquisition,Random Sampling
0,4185.461410999298,7060.52779173851,18.971548318862915,3019.7767162323,841.0529115200043,4.2284321784973145,2.592205286026001
0,,,,,,,
0,4182.40608382225,7100.842727422714,19.072489500045776,3022.157554626465,844.7185778617859,4.1490724086761475,2.5873801708221436
0,,,,,,,
0,4191.800960063934,7076.31450676918,19.00335669517517,3005.4488384723663,844.0739297866821,4.137579917907715,2.5887949466705322
0,,,,,,,
0,4201.994760990143,7096.429876565933,19.238157987594604,3025.7773423194885,845.3102281093597,4.15258264541626,2.5967953205108643
0,,,,,,,
0,4172.947743654251,7081.4618372917175,19.009079694747925,3006.062455177307,866.5936741828918,4.121620416641235,2.587165594100952
0,,,,,,,
0,4190.355109453201,7091.75532078743,19.05856943130493,3015.0805644989014,845.4490170478821,4.128077745437622,2.5899226665496826
0,,,,,,,
0,4194.857421875,7204.076459169388,18.87702775001526,3026.5692274570465,847.2898807525635,4.160307168960571,2.685722827911377
0,,,,,,,
0,4217.354214668274,7107.065493106842,18.76479959487915,2995.543939113617,844.7626950740814,4.162856340408325,2.689784288406372
0,,,,,,,
0,4195.7397108078,7085.522239208221,19.28439426422119,3030.1726908683777,842.1719980239868,4.179820775985718,2.5913777351379395
0,,,,,,,
0,4187.385268688202,7168.080904960632,19.147511959075928,3011.9036643505096,845.5811011791229,4.1594884395599365,2.6098289489746094
0,,,,,,,
