,MVSA_GPR_greedy,MVSA_GPR_ucb,Greedy Acquisition,Random Sampling
0,4146.407510280609,4153.57008099556,5.145608186721802,2.6808688640594482
0,,,,
0,4155.895999908447,4139.45942234993,5.1214776039123535,2.6775717735290527
0,,,,
0,4140.13897228241,4135.408709526062,5.117562294006348,2.6665501594543457
0,,,,
0,4154.578500986099,4139.882806062698,5.117516040802002,2.675693988800049
0,,,,
0,4145.611788988113,4127.166025876999,5.174563884735107,2.6758627891540527
0,,,,
0,4143.264867305756,4134.881987810135,5.2632622718811035,2.672131299972534
0,,,,
0,4130.093887805939,4154.485151767731,5.138662815093994,2.7030372619628906
0,,,,
0,4142.122554540634,4158.537802219391,5.103249788284302,2.6594998836517334
0,,,,
0,4144.285806655884,4143.5092651844025,5.085771560668945,2.7071034908294678
0,,,,
0,4157.436302900314,4145.314696073532,5.175751447677612,2.6595139503479004
0,,,,
